seed,final_phase,phase_B_tick,phase_C_tick,phase_D_tick,clock_before_map,final_pop,final_mean_s,final_mean_cv,final_max_gen,total_divisions
69,D,6650,6700,9100,True,37,0.8995,0.0737,5,354
70,D,7000,7050,10050,True,39,0.7938,0.0738,4,366
71,D,7850,7900,9700,True,36,0.8524,0.0794,5,369
72,D,7200,7250,10500,True,40,0.7577,0.0768,4,368
73,D,6750,6800,9650,True,35,0.9700,0.0812,4,366
74,D,7700,7750,10100,True,37,0.8438,0.0655,5,365
75,D,8050,8100,9900,True,38,0.8263,0.0772,5,366
76,D,8650,8700,10400,True,38,0.8512,0.0753,4,359
77,D,7500,7550,10950,True,38,0.8098,0.0775,4,365
78,D,7700,7750,9750,True,39,0.7548,0.0752,6,366
79,D,7700,7750,10750,True,36,0.8366,0.0759,5,368
80,D,7900,7950,10650,True,39,0.8506,0.0703,6,354
81,D,7500,7550,10350,True,40,0.7306,0.0781,4,367
82,D,7200,7250,10200,True,36,0.8981,0.0732,4,369
83,D,8500,8550,14000,True,39,0.8364,0.0715,4,361
84,D,8050,8100,10850,True,36,0.9703,0.0737,4,358
85,C,8700,8750,-1,True,35,0.9945,0.0712,3,365
86,D,7800,7850,10200,True,39,0.7370,0.0730,4,368
87,D,7550,7600,10100,True,38,0.7920,0.0787,4,371
88,D,6900,6950,10100,True,39,0.7450,0.0750,5,371
89,D,7250,7300,9800,True,35,0.9537,0.0754,4,370
90,D,7150,7200,9850,True,35,0.9044,0.0717,5,365
91,D,7150,7200,9000,True,36,0.9363,0.0796,5,355
92,D,8100,8150,10250,True,39,0.7981,0.0785,4,366
93,D,7900,7950,10400,True,43,0.6827,0.0814,4,366
94,D,7150,7450,8750,True,40,0.7397,0.0759,8,354
95,D,7750,7800,9950,True,41,0.7171,0.0785,5,368
96,D,7350,7400,10100,True,39,0.7934,0.0788,4,367
97,D,7150,7200,9350,True,34,0.9386,0.0760,4,362
98,D,8650,8700,18050,True,37,0.9017,0.0689,5,364
99,D,7200,7250,9350,True,34,0.9614,0.0771,5,365
