seed,max_ticks,final_phase,phase_B_tick,phase_C_tick,phase_D_tick,clock_before_map,final_pop,final_mean_s,final_mean_cv,final_max_gen,total_divisions
226,80000,D,4200,4250,5700,True,40,0.7698,0.0429,5,1212
227,80000,D,3850,3950,5100,True,39,0.8050,0.0386,5,1212
228,80000,D,3800,3850,5050,True,43,0.6074,0.0397,5,1221
229,80000,C,5200,5250,-1,True,36,0.8661,0.0408,3,1202
230,80000,C,5050,5100,-1,True,43,0.6607,0.0393,3,1213
231,80000,C,4550,4600,-1,True,38,0.8305,0.0422,4,1211
232,80000,D,3600,3650,5250,True,42,0.7206,0.0428,4,1218
233,80000,D,4100,4150,5500,True,39,0.7675,0.0412,5,1201
234,80000,B,3500,-1,-1,True,19,0.0000,0.0660,23,1075
235,80000,D,3750,3800,5050,True,37,0.8243,0.0404,6,1203
236,80000,C,4000,4050,-1,True,36,0.8808,0.0388,3,1208
237,80000,D,3500,3550,4950,True,40,0.7034,0.0395,6,1196
238,80000,D,3650,3700,5350,True,38,0.7150,0.0405,4,1206
239,80000,D,4400,4450,9100,True,40,0.6930,0.0415,4,1204
240,80000,C,5100,5150,-1,True,39,0.7647,0.0412,3,1202
241,80000,D,4350,4400,5500,True,40,0.6648,0.0407,4,1206
242,80000,D,3850,3900,4900,True,38,0.8718,0.0406,6,1210
243,80000,C,5050,5100,-1,True,41,0.7280,0.0407,4,1215
244,80000,D,4350,4400,5550,True,38,0.7720,0.0417,6,1207
245,80000,D,3850,3900,5350,True,37,0.8313,0.0412,4,1209
246,80000,D,4400,4450,5900,True,43,0.6512,0.0452,5,1203
247,80000,D,3600,3650,5300,True,41,0.6726,0.0429,5,1190
248,80000,D,4100,4150,6100,True,39,0.8155,0.0415,4,1205
249,80000,D,4900,4950,8400,True,37,0.8256,0.0421,5,1200
250,80000,D,4750,4800,6350,True,36,0.8326,0.0388,4,1203
251,80000,D,4200,4250,5700,True,38,0.7951,0.0427,5,1201
252,80000,D,3650,3700,5650,True,37,0.7893,0.0427,4,1212
253,80000,D,3600,3650,5250,True,40,0.7085,0.0453,5,1206
254,80000,D,4150,4200,6100,True,41,0.6657,0.0422,4,1206
255,80000,D,4350,4400,6300,True,36,0.8884,0.0393,5,1209
256,80000,C,5500,5550,-1,True,39,0.7686,0.0400,3,1201
257,80000,D,4250,4300,6100,True,41,0.7234,0.0408,4,1210
258,80000,C,7600,7650,-1,True,36,0.9253,0.0412,3,1211
259,80000,D,3700,3750,5350,True,39,0.7148,0.0397,4,1207
260,80000,C,4650,4700,-1,True,39,0.7949,0.0429,4,1204
261,80000,D,3550,3850,4650,True,45,0.5801,0.0433,5,1207
262,80000,D,3800,3850,5900,True,36,0.9196,0.0413,4,1214
263,80000,D,4900,4950,8300,True,38,0.8109,0.0404,6,1211
264,80000,D,3450,3500,5000,True,40,0.7415,0.0431,5,1210
265,80000,D,4200,4250,5750,True,37,0.8535,0.0426,5,1213
266,80000,D,4400,4450,5700,True,34,0.8673,0.0406,4,1196
267,80000,D,3450,3800,5050,True,41,0.7030,0.0411,5,1198
268,80000,C,5250,5300,-1,True,38,0.8191,0.0420,4,1201
269,80000,D,4350,4400,5400,True,37,0.8057,0.0400,6,1202
270,80000,C,8850,8900,-1,True,39,0.7673,0.0427,4,1215
271,80000,D,5200,5250,7050,True,39,0.7729,0.0422,6,1200
272,80000,D,4350,4400,5900,True,38,0.7885,0.0417,4,1211
273,80000,D,4800,4850,5950,True,37,0.8290,0.0418,5,1200
274,80000,D,5100,5150,8850,True,37,0.8333,0.0405,4,1203
275,80000,D,3900,3950,5050,True,37,0.8145,0.0396,4,1198
276,80000,C,5050,5100,-1,True,36,0.8674,0.0433,3,1204
277,80000,D,3600,3650,5350,True,36,0.8640,0.0405,4,1205
278,80000,D,5550,5600,6350,True,36,0.8397,0.0386,5,1200
279,80000,D,4850,4900,9500,True,40,0.7385,0.0414,4,1205
280,80000,C,4800,4850,-1,True,38,0.7781,0.0405,3,1206
281,80000,C,4750,4800,-1,True,39,0.7679,0.0407,3,1202
282,80000,D,3750,3800,5150,True,37,0.8461,0.0403,4,1202
283,80000,D,4900,4950,6300,True,41,0.6724,0.0418,4,1221
